libdevmapper1.02.1/stable,now 2:1.02.155-3 armhf [installed]
libdns-export1104/stable,now 1:9.11.5.P4+dfsg-5.1+deb10u3 armhf [installed]
libelf1/stable,now 0.176-1.1 armhf [installed]
libestr0/stable,now 0.1.10-2.1 armhf [installed]
libext2fs2/stable,now 1.44.5-1+deb10u3 armhf [installed]
libfastjson4/stable,now 0.99.8-2 armhf [installed]
libfdisk1/stable,now 2.33.1-0.1 armhf [installed]
libffi6/stable,now 3.2.1-9 armhf [installed]
libfreetype6-dev/stable,now 2.9.1-3+deb10u2 armhf [installed]
libgcc1/stable,now 1:8.3.0-6+rpi1 armhf [installed]
libgcrypt20/stable,now 1.8.4-5 armhf [installed]
libgdbm6/stable,now 1.18.1-4 armhf [installed]
libgmp10/stable,now 2:6.1.2+dfsg-4 armhf [installed]
libgnutls30/stable,now 3.6.7-4+deb10u6 armhf [installed]
libgpg-error0/stable,now 1.35-1 armhf [installed]
libhogweed4/stable,now 3.4.1-1 armhf [installed]
libident/stable,now 0.22-3.1 armhf [installed]
libidn11/stable,now 1.33-2.2 armhf [installed]
libidn2-0/stable,now 2.0.5-1+deb10u1 armhf [installed]
libip4tc0/stable,now 1.8.2-4 armhf [installed]
libip6tc0/stable,now 1.8.2-4 armhf [installed]
libiptc0/stable,now 1.8.2-4 armhf [installed]
libisc-export1100/stable,now 1:9.11.5.P4+dfsg-5.1+deb10u3 armhf [installed]
libjson-c3/stable,now 0.12.1+ds-2+deb10u1 armhf [installed]
libkmod2/stable,now 26-1 armhf [installed]
libksba8/stable,now 1.3.5-2 armhf [installed]
libldap-2.4-2/stable,now 2.4.47+dfsg-3+rpi1+deb10u6 armhf [installed]
libldap-common/stable,now 2.4.47+dfsg-3+rpi1+deb10u6 all [installed]
liblocale-gettext-perl/stable,now 1.07-3+b3 armhf [installed]
liblognorm5/stable,now 2.0.5-1 armhf [installed]
liblz4-1/stable,now 1.8.3-1 armhf [installed]
liblzma5/stable,now 5.2.4-1 armhf [installed]
libmnl-dev/stable,now 1.0.4-2 armhf [installed]
libmnl0/stable,now 1.0.4-2 armhf [installed]
libmount1/stable,now 2.33.1-0.1 armhf [installed]
libmtp-runtime/stable,now 1.1.16-2 armhf [installed]
libncurses6/stable,now 6.1+20181013-2+deb10u2 armhf [installed]
libncursesw6/stable,now 6.1+20181013-2+deb10u2 armhf [installed]
libnetfilter-conntrack3/stable,now 1.0.7-1 armhf [installed]
libnettle6/stable,now 3.4.1-1 armhf [installed]
libnfnetlink0/stable,now 1.0.1-3 armhf [installed]
libnftnl11/stable,now 1.1.2-2 armhf [installed]
libnpth0/stable,now 1.6-1 armhf [installed]
libp11-kit0/stable,now 0.23.15-2+deb10u1 armhf [installed]
libpam-chksshpwd/testing,now 1.3.1-5+rpt2 armhf [installed]
libpam-modules-bin/testing,now 1.3.1-5+rpt2 armhf [installed]
libpam-modules/testing,now 1.3.1-5+rpt2 armhf [installed]
libpam-runtime/testing,now 1.3.1-5+rpt2 all [installed]
libpam0g/testing,now 1.3.1-5+rpt2 armhf [installed]
libpcre3/stable,now 2:8.39-12 armhf [installed]
libpipeline1/stable,now 1.5.1-2 armhf [installed]
libpopt0/stable,now 1.16-12 armhf [installed]
libprocps7/stable,now 2:3.3.15-2 armhf [installed]
libraspberrypi-bin/testing,now 1.20210303-1 armhf [installed]
libraspberrypi-dev/testing,now 1.20210303-1 armhf [installed]
libraspberrypi-doc/testing,now 1.20210303-1 armhf [installed]
